match_id,season,date,venue,team1,team2,team1_win_ratio_last_5,team2_win_ratio_last_5,venue_avg_first_innings,is_toss_winner_team1,team1_head_to_head_win_ratio,venue_suitability_team1,venue_suitability_team2,batting_strength_diff,venue_chase_bias,team1_star_players,team2_star_players,target_winner
419112,2009/10,2010-03-16,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,0.6,0.4,156.14285714285714,0,0.25,0.14285714285714285,1.0,34.60000000000001,0.5714285714285714,2,2,1.0
419113,2009/10,2010-03-16,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,0.8,0.4,139.25,0,0.3333333333333333,0.625,1.0,-14.200000000000003,0.75,5,7,0.0
419114,2009/10,2010-03-17,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,0.6,0.4,165.83333333333334,1,0.75,0.6666666666666666,0.0,25.599999999999994,0.6666666666666666,6,6,0.0
419115,2009/10,2010-03-18,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,0.6,0.2,162.0,1,0.25,0.25,1.0,44.0,0.625,2,3,1.0
419116,2009/10,2010-03-19,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,0.6,0.4,173.28571428571428,1,0.5,0.5714285714285714,1.0,10.200000000000003,0.5714285714285714,4,6,0.0
419123,2009/10,2010-03-23,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,0.6,0.4,154.22222222222223,0,0.6,0.3333333333333333,1.0,-1.6000000000000085,0.6666666666666666,2,5,1.0
419124,2009/10,2010-03-24,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,0.0,0.2,179.875,1,0.5,0.75,0.0,9.0,0.5,5,4,0.0
419128,2009/10,2010-03-25,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,0.8,0.4,155.9,1,0.25,0.4,1.0,30.799999999999983,0.6,2,4,0.0
419127,2009/10,2010-03-27,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,0.0,0.4,180.22222222222223,0,0.5,0.6666666666666666,0.0,25.19999999999999,0.4444444444444444,5,4,0.0
419130,2009/10,2010-03-28,Dr DY Patil Sports Academy,Deccan Chargers,Mumbai Indians,0.6,0.8,148.6,1,0.75,0.5,0.6666666666666666,1.4000000000000057,0.6,4,4,0.0
419133,2009/10,2010-03-31,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,0.2,0.8,168.0,0,0.3333333333333333,0.3333333333333333,1.0,-13.400000000000006,0.375,7,3,1.0
419134,2009/10,2010-03-31,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,0.4,0.8,175.0,1,0.5,0.5555555555555556,0.0,-16.60000000000001,0.5555555555555556,5,4,1.0
419135,2009/10,2010-04-01,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,0.2,0.6,142.0,1,0.6,0.5555555555555556,0.0,-37.80000000000001,0.6666666666666666,3,4,1.0
419136,2009/10,2010-04-02,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,0.0,0.6,180.5,1,0.6,0.6,0.0,-33.39999999999999,0.4,4,3,0.0
419137,2009/10,2010-04-03,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,0.2,0.8,167.3,1,0.3333333333333333,0.4,1.0,-8.200000000000017,0.4444444444444444,5,3,1.0
419139,2009/10,2010-04-04,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,0.4,0.0,145.9,1,0.6,0.6,0.0,10.0,0.6,3,3,0.0
419140,2009/10,2010-04-04,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,0.6,0.6,176.3,1,0.8,0.6,0.0,-20.0,0.5,6,4,1.0
419142,2009/10,2010-04-06,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,0.4,1.0,174.45454545454547,1,0.4,0.45454545454545453,0.0,20.0,0.4,7,5,1.0
419144,2009/10,2010-04-07,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,0.4,0.8,150.8181818181818,1,0.25,0.5454545454545454,0.0,11.199999999999989,0.6363636363636364,6,7,1.0
419143,2009/10,2010-04-07,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,0.6,0.2,158.42857142857142,0,0.6,1.0,0.0,8.200000000000003,0.7142857142857143,4,4,1.0
419145,2009/10,2010-04-08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,0.4,0.0,158.36363636363637,0,0.6,0.36363636363636365,0.0,27.80000000000001,0.5454545454545454,3,4,0.0
419146,2009/10,2010-04-09,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,0.2,0.8,180.54545454545453,0,0.6,0.5454545454545454,0.0,-4.800000000000011,0.45454545454545453,4,5,1.0
419148,2009/10,2010-04-10,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,0.2,0.6,160.5,1,0.4,0.3333333333333333,1.0,-20.599999999999994,0.5833333333333334,3,7,1.0
419149,2009/10,2010-04-11,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,0.8,0.4,177.0,1,0.4,0.6363636363636364,1.0,9.400000000000006,0.45454545454545453,7,4,0.0
419150,2009/10,2010-04-11,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,0.6,0.6,157.75,1,0.5,1.0,0.0,15.599999999999994,0.75,4,6,0.0
419153,2009/10,2010-04-13,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,0.6,0.4,173.66666666666666,0,0.75,0.5,0.0,13.199999999999989,0.36363636363636365,7,6,1.0
419154,2009/10,2010-04-14,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,0.4,0.4,159.55555555555554,1,0.6,0.8888888888888888,0.0,-16.80000000000001,0.6666666666666666,4,4,0.0
419155,2009/10,2010-04-15,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,0.8,0.4,171.0,1,0.6,0.5384615384615384,1.0,30.599999999999994,0.4166666666666667,8,7,0.0
419157,2009/10,2010-04-17,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,0.4,0.6,160.46153846153845,1,0.6,0.38461538461538464,1.0,-12.199999999999989,0.6153846153846154,4,6,0.0
419158,2009/10,2010-04-17,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,0.4,0.4,153.33333333333334,0,0.2,0.5833333333333334,1.0,23.599999999999994,0.5833333333333334,5,2,1.0
419160,2009/10,2010-04-18,Feroz Shah Kotla,Delhi Daredevils,Deccan Chargers,0.4,0.8,171.5,0,0.6666666666666666,0.5833333333333334,0.0,-36.400000000000006,0.5,7,5,0.0
419161,2009/10,2010-04-19,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,0.4,0.6,151.69230769230768,0,0.0,0.6153846153846154,1.0,3.8000000000000114,0.6153846153846154,6,3,1.0
419163,2009/10,2010-04-22,Dr DY Patil Sports Academy,Chennai Super Kings,Deccan Chargers,0.6,1.0,157.0,1,0.3333333333333333,0.0,0.3333333333333333,-7.599999999999994,0.42857142857142855,8,4,1.0
419164,2009/10,2010-04-24,Dr DY Patil Sports Academy,Royal Challengers Bangalore,Deccan Chargers,0.4,0.8,155.125,0,0.42857142857142855,0.0,0.25,-4.3999999999999915,0.375,4,6,1.0
